"카테고리","세부분류","ID","이름","가격","내구도","기본공격력","방어","명중","HP","MP","힘","민첩","지력","HP%","MP%","필요직업","필요레벨","성별","필요힘","필요민첩","필요지력","거래가능","설명"
"무기","창/지팡이","spear_65","인어장군지팡이","비매품","5000000","130~160","","2","400","400","5","5","5","","","","80","","","","","거래가능","창/지팡이 '인어장군지팡이'. 명중 +2을 가진 무기입니다. 체력 +400, 마력 +400, 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 80 이상 착용 가능합니다."
"무기","검/기타","sword_66","심판의낫","비매품","1000000","430~450","","","7000","7000","15","10","10","","","","99","","","","","거래가능","검/기타 '심판의낫'. 캐릭터가 사용할 수 있는 무기입니다. 체력 +7000, 마력 +7000, 힘 +15, 민첩 +10, 지력 +10 효과가 함께 붙어 있습니다. 레벨 99 이상 착용 가능합니다."
"무기","창/지팡이","spear_67","오뢰창","비매품","100000","40~80","","3","","","5","","","","","","50","","17","","","거래가능","창/지팡이 '오뢰창'. 공격력 +1, 명중 +3을 가진 무기입니다. 힘 +5 효과가 함께 붙어 있습니다. 레벨 50 이상, 힘 17 이상 착용 가능합니다."
"무기","창/지팡이","spear_68","오선창","비매품","100000","50~100","","1","","","2","","","","","","50","","17","","","거래가능","창/지팡이 '오선창'. 공격력 +2, 명중 +1을 가진 무기입니다. 힘 +2 효과가 함께 붙어 있습니다. 레벨 50 이상, 힘 17 이상 착용 가능합니다."
"무기","창/지팡이","spear_69","오귀창","비매품","150000","80~200","","5","","","12","","","","","","70","","","","","거래가능","창/지팡이 '오귀창'. 공격력 +5, 명중 +5을 가진 무기입니다. 힘 +12 효과가 함께 붙어 있습니다. 레벨 70 이상 착용 가능합니다."
"무기","창/지팡이","spear_70","단사모","비매품","1000000","70~70","","","200","100","12","","","","","","60","","","","","거래가능","창/지팡이 '단사모'. 공격력 +1을 가진 무기입니다. 체력 +200, 마력 +100, 힘 +12 효과가 함께 붙어 있습니다. 레벨 60 이상 착용 가능합니다."
"무기","창/지팡이","spear_71","낭아봉","비매품","100000","20~110","","","","","1","","5","","","","60","","","","","거래가능","창/지팡이 '낭아봉'. 공격력 +1을 가진 무기입니다. 힘 +1, 지력 +5 효과가 함께 붙어 있습니다. 레벨 60 이상 착용 가능합니다."
"무기","창/지팡이","spear_72","영롱비창","비매품","500000","50~220","","6","1000","1000","15","","10","","","","70","","","","","거래가능","창/지팡이 '영롱비창'. 공격력 +6, 명중 +6을 가진 무기입니다. 체력 +1000, 마력 +1000, 힘 +15, 지력 +10 효과가 함께 붙어 있습니다. 레벨 70 이상 착용 가능합니다."
"무기","창/지팡이","spear_73","용설봉","비매품","300000","8~8","","","500","1000","","","18","","","주술사","75","","","","","거래가능","창/지팡이 '용설봉'. 캐릭터가 사용할 수 있는 무기입니다. 체력 +500, 마력 +1000, 지력 +18 효과가 함께 붙어 있습니다. 레벨 75 이상, 주술사 착용 가능합니다."
"무기","창/지팡이","spear_74","삼촉현선","비매품","300000","80~90","","","","700","","","12","","","도사","70","","","","","거래가능","창/지팡이 '삼촉현선'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +700, 지력 +12 효과가 함께 붙어 있습니다. 레벨 70 이상, 도사 착용 가능합니다."
"무기","창/지팡이","spear_75","진선장","비매품","300000","90~100","","","","1000","","","15","","","도사","75","","17","","","거래가능","창/지팡이 '진선장'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +1000, 지력 +15 효과가 함께 붙어 있습니다. 레벨 75 이상, 도사, 힘 17 이상 착용 가능합니다."
"무기","검/기타","sword_76","진일신검","비매품","8000000","700~800","","3","","","20","10","10","15","","전사","99","","","","","거래가능","검/기타 '진일신검'. 공격력 +8, 명중 +3을 가진 무기입니다. 체력 +15%, 힘 +20, 민첩 +10, 지력 +10 효과가 함께 붙어 있습니다. 레벨 99 이상, 전사 착용 가능합니다."
"무기","창/지팡이","spear_77","청일기창","비매품","8000000","700~800","-7","3","","","10","20","10","15","","도적","99","","","","","거래가능","창/지팡이 '청일기창'. 공격력 +8, 명중 +3을 가진 무기입니다. 체력 +15%, 힘 +10, 민첩 +20, 지력 +10 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","창/지팡이","spear_78","황염곤봉","비매품","8000000","600~700","-7","3","","","10","10","20","","15","주술사","99","","","","","거래가능","창/지팡이 '황염곤봉'. 공격력 +8, 명중 +3을 가진 무기입니다. 마력 +15%, 힘 +10, 민첩 +10, 지력 +20 효과가 함께 붙어 있습니다. 레벨 99 이상, 주술사 착용 가능합니다."
"무기","검/기타","sword_79","적염곤봉","비매품","8000000","600~700","","3","","","10","10","20","","15","도사","99","","","","","거래가능","검/기타 '적염곤봉'. 공격력 +8, 명중 +3을 가진 무기입니다. 마력 +15%, 힘 +10, 민첩 +10, 지력 +20 효과가 함께 붙어 있습니다. 레벨 99 이상, 도사 착용 가능합니다."
"무기","검/기타","sword_80","안시도","비매품","50000","400~500","","","500","250","","","10","","","","95","","","","","거래가능","검/기타 '안시도'. 캐릭터가 사용할 수 있는 무기입니다. 체력 +500, 마력 +250, 지력 +10 효과가 함께 붙어 있습니다. 레벨 95 이상 착용 가능합니다."
"무기","검/기타","sword_83","구곡검","비매품","8000000","800~1000","","","10000","","20","10","","10","","전사","99","","","","","거래가능","검/기타 '구곡검'. 캐릭터가 사용할 수 있는 무기입니다. 체력 +10000, 체력 +10%, 힘 +20, 민첩 +10 효과가 함께 붙어 있습니다. 레벨 99 이상, 전사 착용 가능합니다."
"무기","검/기타","sword_84","협가검","비매품","8000000","800~1000","","","10000","","10","20","","10","","도적","99","","","","","거래가능","검/기타 '협가검'. 캐릭터가 사용할 수 있는 무기입니다. 체력 +10000, 체력 +10%, 힘 +10, 민첩 +20 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","창/지팡이","spear_85","영후단봉","비매품","8000000","800~1000","-7","","5000","5000","","10","20","","10","주술사","99","","","","","거래가능","창/지팡이 '영후단봉'. 캐릭터가 사용할 수 있는 무기입니다. 체력 +5000, 마력 +5000, 마력 +10%, 민첩 +10, 지력 +20 효과가 함께 붙어 있습니다. 레벨 99 이상, 주술사 착용 가능합니다."
"무기","검/기타","sword_88","흑형도","비매품","50000","250~300","","","1000","500","","","2","","","","98","","","","","거래가능","검/기타 '흑형도'. 캐릭터가 사용할 수 있는 무기입니다. 체력 +1000, 마력 +500, 지력 +2 효과가 함께 붙어 있습니다. 레벨 98 이상 착용 가능합니다."
"무기","검/기타","sword_92","대모홍접선","비매품","8000000","800~1000","","","","10000","","10","20","","10","도사","99","","","","","거래가능","검/기타 '대모홍접선'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +10000, 마력 +10%, 민첩 +10, 지력 +20 효과가 함께 붙어 있습니다. 레벨 99 이상, 도사 착용 가능합니다."
"무기","검/기타","sword_105","저주의단검","비매품","500000","150~250","","","","","","","","","","","55","","","","","거래가능","검/기타 '저주의단검'. 캐릭터가 사용할 수 있는 무기입니다. 레벨 55 이상 착용 가능합니다."
"무기","창/지팡이","spear_108","사냥용창","500","3000","5~15","","","","","","","","","","","","","","","","거래가능","창/지팡이 '사냥용창'. 캐릭터가 사용할 수 있는 무기입니다."
"무기","창/지팡이","spear_109","다문창","비매품","3000000","100~120","","","","","5","5","5","","","","60","","35","","","거래가능","창/지팡이 '다문창'. 공격력 +2을 가진 무기입니다. 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 60 이상, 힘 35 이상 착용 가능합니다."
"무기","검/기타","sword_110","적화접선","비매품","5000000","400~500","","7","","","10","10","10","","2.5","도사","80","","","","","거래가능","검/기타 '적화접선'. 공격력 +2, 명중 +7을 가진 무기입니다. 마력 +2.5%, 힘 +10, 민첩 +10, 지력 +10 효과가 함께 붙어 있습니다. 레벨 80 이상, 도사 착용 가능합니다."
"무기","검/기타","sword_111","황화곤봉","비매품","5000000","400~500","","7","","","10","10","10","","2.5","주술사","80","","","","","거래가능","검/기타 '황화곤봉'. 공격력 +2, 명중 +7을 가진 무기입니다. 마력 +2.5%, 힘 +10, 민첩 +10, 지력 +10 효과가 함께 붙어 있습니다. 레벨 80 이상, 주술사 착용 가능합니다."
"무기","창/지팡이","spear_112","청월기창","비매품","5000000","400~500","","7","","","10","10","10","5","","도적","80","","","","","거래가능","창/지팡이 '청월기창'. 공격력 +2, 명중 +7을 가진 무기입니다. 체력 +5%, 힘 +10, 민첩 +10, 지력 +10 효과가 함께 붙어 있습니다. 레벨 80 이상, 도적 착용 가능합니다."
"무기","창/지팡이","spear_113","전투용창","1500","3000","20~45","","","","","","","","","","","","","","","","거래가능","창/지팡이 '전투용창'. 캐릭터가 사용할 수 있는 무기입니다."
"무기","검/기타","sword_114","투사의칼","20000","50000","80~100","","1","200","","1","","","","","전사","50","","","","","거래가능","검/기타 '투사의칼'. 공격력 +1, 명중 +1을 가진 무기입니다. 체력 +200, 힘 +1 효과가 함께 붙어 있습니다. 레벨 50 이상, 전사 착용 가능합니다."
"무기","검/기타","sword_115","용사의칼","20000","50000","75~95","","1","","","1","","","","","도적","50","","","","","거래가능","검/기타 '용사의칼'. 공격력 +1, 명중 +1을 가진 무기입니다. 힘 +1 효과가 함께 붙어 있습니다. 레벨 50 이상, 도적 착용 가능합니다."
"무기","창/지팡이","spear_116","환술의봉","20000","30000","30~60","","","","150","","","1","","","주술사","50","","","","","거래가능","창/지팡이 '환술의봉'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +150, 지력 +1 효과가 함께 붙어 있습니다. 레벨 50 이상, 주술사 착용 가능합니다."
"무기","창/지팡이","spear_117","의식의지팡이","20000","30000","30~60","","","","150","","","1","","","도사","50","","","","","거래가능","창/지팡이 '의식의지팡이'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +150, 지력 +1 효과가 함께 붙어 있습니다. 레벨 50 이상, 도사 착용 가능합니다."
"무기","창/지팡이","spear_118","거미독창","비매품","50000","230~270","","","","","","","","","","","56","","","","","거래가능","창/지팡이 '거미독창'. 캐릭터가 사용할 수 있는 무기입니다. 레벨 56 이상 착용 가능합니다."
"무기","검/기타","sword_119","천풍선","비매품","500000","250~300","","","","1200","","","20","","","","70","","25","","","거래가능","검/기타 '천풍선'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +1200, 지력 +20 효과가 함께 붙어 있습니다. 레벨 70 이상, 힘 25 이상 착용 가능합니다."
"무기","검/기타","sword_120","초록개비","비매품","4000","10~15","","","","","","","","","","","","","","","","거래가능","검/기타 '초록개비'. 캐릭터가 사용할 수 있는 무기입니다."
"무기","검/기타","sword_121","연두개비","비매품","4000","10~15","","","","","","","","","","","","","","","","거래가능","검/기타 '연두개비'. 캐릭터가 사용할 수 있는 무기입니다."
"무기","검/기타","sword_122","분홍개비","비매품","4000","10~15","","","","","","","","","","","","","","","","거래가능","검/기타 '분홍개비'. 캐릭터가 사용할 수 있는 무기입니다."
"무기","검/기타","sword_123","파랑개비","비매품","4000","10~15","","","","","","","","","","","","","","","","거래가능","검/기타 '파랑개비'. 캐릭터가 사용할 수 있는 무기입니다."
"무기","검/기타","sword_124","하늘개비","비매품","4000","10~15","","","","","","","","","","","","","","","","거래가능","검/기타 '하늘개비'. 캐릭터가 사용할 수 있는 무기입니다."
"무기","검/기타","sword_125","용천제일검","비매품","1000000","300~350","","3","","","5","5","5","","","도적","99","","","","","거래가능","검/기타 '용천제일검'. 공격력 +1, 명중 +3을 가진 무기입니다. 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","검/기타","sword_126","용천제이검","비매품","2000000","320~380","","3","","","5","5","5","","","도적","99","","","","","거래가능","검/기타 '용천제이검'. 공격력 +1, 명중 +3을 가진 무기입니다. 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","검/기타","sword_127","용천제삼검","비매품","3000000","350~400","","3","","","5","5","5","","","도적","99","","","","","거래가능","검/기타 '용천제삼검'. 공격력 +1, 명중 +3을 가진 무기입니다. 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","검/기타","sword_128","용천제사검","비매품","4000000","400~440","","3","","","5","5","5","","","도적","99","","","","","거래가능","검/기타 '용천제사검'. 공격력 +1, 명중 +3을 가진 무기입니다. 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","검/기타","sword_129","용천제오검","비매품","5000000","480~520","","3","","","5","5","5","","","도적","99","","","","","거래가능","검/기타 '용천제오검'. 공격력 +1, 명중 +3을 가진 무기입니다. 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","검/기타","sword_130","용천제육검","비매품","6000000","550~650","","3","","","5","5","5","5","","도적","99","","","","","거래가능","검/기타 '용천제육검'. 공격력 +1, 명중 +3을 가진 무기입니다. 체력 +5%, 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","검/기타","sword_131","용천제칠검","비매품","7000000","650~750","","3","","","10","10","10","10","","도적","99","","","","","거래가능","검/기타 '용천제칠검'. 공격력 +1, 명중 +3을 가진 무기입니다. 체력 +10%, 힘 +10, 민첩 +10, 지력 +10 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","검/기타","sword_132","용천제팔검","비매품","8000000","750~850","","3","","","15","15","15","15","","도적","99","","","","","거래가능","검/기타 '용천제팔검'. 공격력 +1, 명중 +3을 가진 무기입니다. 체력 +15%, 힘 +15, 민첩 +15, 지력 +15 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","검/기타","sword_133","용천제구검","비매품","9000000","900~1000","","3","","","25","25","25","20","","도적","99","","","","","거래가능","검/기타 '용천제구검'. 공격력 +1, 명중 +3을 가진 무기입니다. 체력 +20%, 힘 +25, 민첩 +25, 지력 +25 효과가 함께 붙어 있습니다. 레벨 99 이상, 도적 착용 가능합니다."
"무기","검/기타","sword_134","용마제일검","비매품","1000000","300~350","","3","","","5","5","5","","","전사","99","","","","","거래가능","검/기타 '용마제일검'. 공격력 +1, 명중 +3을 가진 무기입니다. 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 99 이상, 전사 착용 가능합니다."
"무기","검/기타","sword_135","용마제이검","비매품","2000000","320~380","","3","","","5","5","5","","","전사","99","","","","","거래가능","검/기타 '용마제이검'. 공격력 +1, 명중 +3을 가진 무기입니다. 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 99 이상, 전사 착용 가능합니다."
